id,slug,name,kind,expectedCategory,actualCategoryIds,status
burgersRestaurants_d4b7de9746f1,butcher-s-burger-peristeri-steak-house-d4b7,Butcher's Burger Peristeri & Steak House,restaurant,burgers,burgers,OK
burgersRestaurants_d54ba5e0c0be,pax-d54b,Pax,restaurant,burgers,burgers,OK
burgersRestaurants_d5586ce24d0b,osten-d558,OSTEN,restaurant,burgers,burgers|desserts,OK
burgersRestaurants_d55e3b1fc4f6,one-burger-d55e,ONE BURGER,restaurant,burgers,burgers,OK
burgersRestaurants_d933f81e3617,pass-the-smashed-d933,Pass The Smashed,restaurant,burgers,burgers,OK
burgersRestaurants_dcffa319373f,just-burgers-dcff,Just Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_de31086328e0,balboa-athens-de31,Balboa Athens,restaurant,burgers,burgers,OK
burgersRestaurants_e1c3b2a2acd7,tarantino-modiano-e1c3,Tarantino Modiano,restaurant,burgers,burgers,OK
burgersRestaurants_e22a52b46127,raw-street-burger-chalandri-e22a,Raw Street Burger - Chalandri,restaurant,burgers,burgers,OK
burgersRestaurants_e2eccf34c175,hanky-panky-palaio-faliro-e2ec,Hanky Panky Palaio Faliro,restaurant,burgers,burgers,OK
burgersRestaurants_e6cca423021b,rookie-skg-e6cc,Rookie.skg,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_ebadcc0c31a2,po-boys-skg-ebad,PO‘ BOYS skg,restaurant,burgers,burgers,OK
burgersRestaurants_ec4983f25d99,nob-burger-ec49,NOB Burger,restaurant,burgers,burgers,OK
burgersRestaurants_f1633ab51896,pommes-f163,Pommes,restaurant,burgers,burgers,OK
burgersRestaurants_f300f2c4a7ef,starlight-burgers-f300,Starlight Burgers,restaurant,burgers,burgers,OK
burgersRestaurants_fc37c5f5cc99,diner-72-fc37,Diner 72,restaurant,burgers,burgers,OK
burgersRestaurants_fe3476589c94,barbara-que-fe34,BarBara Que,restaurant,burgers,burgers,OK
burgersRestaurants_fed9fc98ba72,lobby-athens-fed9,Lobby Athens,restaurant,burgers,burgers,OK
